asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
chinese herbs-ii,,,,,,chinese herbs-ii,thyroid diseases | mycobacterium abscessus pulmonary disease,"{""PHASE1/PHASE2"": 1, ""PHASE2"": 1}","{""UNKNOWN"": 1, ""RECRUITING"": 1}",2,NCT01873014,NCT07295938,the Effect of Chinese Herbs to Treat Thyroid Diseases With Different Iodine Intake || A Study to Assess the Traditional Chinese Medicine as Adjunctive Therapy to Improve Cure Rates During the Continuation Phase in Mycobacterium Abscessus Pulmonary Disease,NCT01873014|NCT07295938,2
tregalizumab,,,TREGALIZUMAB,Antibody,PHASE_2,tregalizumab,rheumatoid arthritis | asthma,"{""PHASE2"": 2}","{""TERMINATED"": 1, ""COMPLETED"": 1}",2,NCT01999192,NCT04673591,"A 24-week Phase IIb, Randomized, Double-blind, Placebo-controlled, Multicenter Study to Investigate the Efficacy and Safety of Tregalizumab (BT061) in Combination With Methotrexate in the Treatment of Subjects With Active Rheumatoid Arthritis Who Have Had an Inadequate Response to Methotrexate Alone, Followed by a 24-week Extension Phase: T Cell RE",NCT01999192|NCT04673591,0
pivmecillinam hydrochloride,,,AMDINOCILLIN PIVOXIL,Small molecule,APPROVAL,pivmecillinam hydrochloride,asymptomatic genital chlamydia infection | genital chlamydia infection | urinary tract infection,"{""PHASE2"": 1, ""PHASE3"": 1}","{""TERMINATED"": 1, ""COMPLETED"": 1}",2,NCT02083276,NCT05545137,"Mecillinam for Treatment of Genital Chlamydia Infection in Asymptomatic Men || Pivmecillinam Hydrochloride Tablets Versus Fosfomycin Tromethamine Granules for Uncomplicated Urinary Tract Infection in Women -A Randomized, Double-blind, Double Simulation, Positive Drug Parallel-controlled, Multi Center Phase III Clinical Trial in China",NCT02083276|NCT05545137,1
gan-lu-yin,,,,,,Gan-Lu-Yin,Sjögren's syndrome,"{""PHASE2"": 2}","{""UNKNOWN"": 1, ""COMPLETED"": 1}",2,NCT02110446,NCT04111341,"Evaluation of the Efficacy and the Mechanism of Chinese Herbal Formula SS-1 for Sjögren's Syndrome - A Randomized Control Trial || A Double Blind, Randomized, Placebo Controlled Clinical Trial to Evaluate the Safety and Efficacy of Traditional Chinese Medicine in Sjögren's Syndrome.",NCT02110446|NCT04111341,2
recombinant fusion protein linking coagulation factor ix with albumin,,,,,,recombinant fusion protein linking coagulation factor IX with albumin,hemophilia B,"{""PHASE3"": 2}","{""COMPLETED"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",2,NCT01662531,NCT06399289,"A Phase III Open-label, Multicenter, Pharmacokinetic, Safety and Efficacy Study of a Recombinant Fusion Protein Linking Coagulation Factor IX With Albumin (rIX-FP) in Previously Treated Children With Hemophilia B || A Phase 3, Open-label, Multicenter, Pharmacokinetics, Efficacy, and Safety Study of a Recombinant Fusion Protein Linking Coagulation F",NCT01662531|NCT06399289,1
recombinant l-ifn adenovirus,,,,,,recombinant L-IFN adenovirus | recombinant l-ifn adenovirus,solid tumor | melanoma | lung cancer | breast cancer | glioblastoma,"{""EARLY_PHASE1"": 3}","{""UNKNOWN"": 3}",2,NCT05180851,NCT05914935,"Safety and Efficacy of Recombinant L-IFN Adenovirus Injection in Relapsed/Refractory Solid Tumors: a Single/Multicenter, Dose-increasing, Cohort Extension Clinical Study || Safety and Efficacy of Recombinant L-IFN Adenovirus Injection in Relapsed/Refractory Solid Tumors: a Single/Multicenter, Dose-increasing, Cohort Extension Clinical Study || Safe",NCT05180851|NCT05914935,0
delns1-2019-ncov-rbd-opt1,,,,,,DelNS1-2019-nCoV-RBD-OPT1 | delns1-2019-ncov-rbd-opt1,COVID-19,"{""PHASE2"": 1, ""PHASE4"": 1}","{""UNKNOWN"": 2}",2,NCT05200741,NCT05855408,"A Randomized, Double-blinded, Placebo-controlled Study to Evaluate the Safety and Immunogenicity of DelNS1-2019-nCoV-RBD-OPT1 as Booster Vaccine for COVID-19 in Healthy Adults Who Have Received 2 Doses of BNT162b2 || Effectiveness of a Second COVID-19 Vaccine Booster in Chinese Adults Aged 18 Years or Above: a Multicenter, Parallel Groups, Partiall",NCT05200741|NCT05855408,1
noiiglutide,,,,,,noiiglutide,type 2 diabetes,"{""PHASE2"": 1, ""PHASE3"": 1}","{""COMPLETED"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",2,NCT03848793,NCT06649773,"A Phase 2, Multiple Centers, Double-blind, Placebo-Controlled, Randomised Study to Evaluate the Efficacy and Safety of HS-20004 in Type 2 Diabetes Subjects. || A Study to Evaluate the Efficacy and Safety of Noiiglutide Injection in Type 2 Diabetes Patients Who Received Metformin in Combination With or Without Another Oral Hypoglycemic Drug for Poor",NCT03848793|NCT06649773,0
polyunsaturated fatty acid,,,FISH OIL,Unknown,APPROVAL,polyunsaturated fatty acid,Crohn's disease | non-steroidal exacerbated airways disease | asthma,"{""PHASE4"": 1, ""PHASE3"": 1}","{""UNKNOWN"": 2}",2,NCT03901937,NCT05613803,"Department of General Surgery, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, Zhejiang, 310016, China || The Efficacy and Mechanisms of Action of n-3 Poly-unsaturated Fatty Acid Supplementation in People With Non-steroidal Exacerbated Airways Disease and Uncontrolled Asthma",NCT03901937|NCT05613803,1
varoglutamstat,,,VAROGLUTAMSTAT,Small molecule,PHASE_2,varoglutamstat,mild cognitive impairment | Alzheimer's disease | dementia,"{""PHASE2"": 2}","{""TERMINATED"": 1, ""COMPLETED"": 1}",2,NCT03919162,NCT04498650,"A Phase 2A Randomized Double-Blind Placebo-Controlled Trial to Evaluate the Efficacy and Safety of Varoglutamstat (PQ912) in Patients With Early Alzheimer's Disease With a Stage-Gate to Phase 2B (VIVA-MIND) || A Phase 2b Multicentre, Randomized, Double-blind, Placebo-controlled, Parallel Group Dose Finding, Safety, Tolerability and Efficacy Study o",NCT03919162|NCT04498650,0
