asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
MRG-201,Shanghai Miracogen (Lepu),high,REMLARSEN,Oligonucleotide,PHASE_2,MRG-201,,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT02603224,NCT02603224,"A Phase 1, Double-Blind, Placebo-Controlled, Single and Multiple Dose-Escalation Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamic Activity of MRG-201 Following Local Intradermal Injection in Normal Healthy Volunteers",NCT02603224,0
docetaxel-pm,Huabo Biopharm (Huaota),medium,DOCETAXEL,Small molecule,APPROVAL,docetaxel-pm,head and neck squamous cell carcinoma,"{""PHASE2"": 1}","{""UNKNOWN"": 1}",1,NCT02639858,NCT02639858,A Phase II Study to Evaluate the Efficacy and Safety of Docetaxel-PM in Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma,NCT02639858,0
tafetinib,Simcere Zaiming,high,TAFETINIB,Small molecule,PHASE_1,tafetinib,solid tumor,"{""PHASE1"": 1}","{""UNKNOWN"": 1}",1,NCT02717741,NCT02717741,A Phase I Study to Determine the Safety and Pharmacokinetic Study of Tafetinib in Patients With Advanced Solid Tumors,NCT02717741,0
conmana,Betta Pharmaceuticals,high,ICOTINIB HYDROCHLORIDE,Small molecule,APPROVAL,conmana,non-small-cell lung cancer,"{""PHASE4"": 1}","{""UNKNOWN"": 1}",1,NCT02778893,NCT02778893,"A Phase Ⅳ,Open,Multicenter,Single Arm Study to Evaluate the Efficacy of the Combination Conmana With Thalidomide in Patients With NSCLC(Non-Small-Cell-Lung-Cancer)",NCT02778893,0
GT0918,Kintor Pharmaceutical,medium,PRUXELUTAMIDE,Small molecule,PHASE_3,GT0918,prostate cancer,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT02826772,NCT02826772,"A Phase 1/2, Multi-Center, Open-Label, Two-Stage Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of GT0918 in Subjects With Metastatic Castrate Resistant Prostate Cancer (mCRPC)",NCT02826772,0
JS-001,Shanghai Junshi Biosciences,high,TORIPALIMAB,Antibody,APPROVAL,JS-001,soft tissue sarcoma | non-small-cell lung cancer | alveolar soft part sarcoma | hodgkin lymphoma | lymphoma,"{""PHASE1"": 1}","{""UNKNOWN"": 1}",1,NCT02836834,NCT02836834,"A Phase I Study of Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Single and Multiple Doses of Recombinant Humanized Anti-PD-1 Monoclonal Antibody for Injection in Patients With Advanced Solid Tumors",NCT02836834,0
IBI303,Innovent Biologics,high,,,,IBI303,ankylosing spondylitis,"{""PHASE3"": 1}","{""COMPLETED"": 1}",1,NCT02893254,NCT02893254,"A Multicenter, Randomized, Double-blind, Parallel-controlled Phase 3 Study Evaluating the Efficacy and Safety of Recombinant Human Monoclonal Antibody Against Human Tumor Necrosis Factor-α (IBI303) Compared to Adalimumab in Patients With Active Ankylosing Spondylitis",NCT02893254,0
BPI-15086,Betta Pharmaceuticals,high,,,,BPI-15086,non-small cell lung cancer,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT02914990,NCT02914990,A Phase 1 Study of BPI-15086 in Patients With Epidermal Growth Factor Receptor T790M Mutation-positive Non-Small Cell Lung Cancer Who Have Progressed on Previous EGFR Tyrosine Kinase Inhibitor Therapy,NCT02914990,0
TQ-B3395,Chia Tai Tianqing (Sino Biopharm),high,,,,TQ-B3395,,"{""PHASE1"": 1}","{""TERMINATED"": 1}",1,NCT02944864,NCT02944864,Phase I Study of Tolerance and Pharmacokinetics of TQ-B3395 in Patients With Advanced Cancer,NCT02944864,0
unecritinib,Chia Tai Tianqing (Sino Biopharm),high,UNECRITINIB,Small molecule,PHASE_2,unecritinib,brain metastases | non-small cell lung cancer,"{""PHASE1"": 1}","{""UNKNOWN"": 1}",1,NCT03019276,NCT03019276,Phase I Study of Tolerance and Pharmacokinetics of TQ-B3101 in Patients With Advanced Cancer,NCT03019276,0
