asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
recombinant humanized anti-interleukin-6 receptor monoclonal antibody,,,,,,recombinant humanized anti-interleukin-6 receptor monoclonal antibody,rheumatoid arthritis | idiopathic multicentric Castleman's disease,"{""PHASE2"": 2, ""PHASE3"": 1}","{""ACTIVE_NOT_RECRUITING"": 1, ""COMPLETED"": 1, ""ENROLLING_BY_INVITATION"": 1}",3,NCT05345522,NCT06726096,"A Single-arm, Open-label, Multi-center Phase Ⅱa Clinical Study to Evaluate the Efficacy and Safety of Recombinant Humanized Anti-IL-6R mAb Injection in the Treatment of Patients With Idiopathic Multicentric Castleman's Disease || Randomized, Double-blind, Placebo, Positive-controlled Phase II Trial of VDJ001 in Patients With Moderate-to-severe Acti",NCT05345522|NCT05957107|NCT06726096,0
precemtabart tocentecan,,,PRECEMTABART TOCENTECAN,Antibody,PHASE_3,precemtabart tocentecan,colorectal cancer,"{""PHASE1"": 2, ""PHASE3"": 1}","{""RECRUITING"": 2, ""ACTIVE_NOT_RECRUITING"": 1}",3,NCT05464030,NCT07549412,"A Phase I, Multicenter, Open-Label First in Human Study of Anti-CEACAM5 Antibody Drug Conjugate M9140 in Participants With Advanced Solid Tumors (PROCEADE-CRC-01) || A Phase 1, Open-label Study of Anti-CEACAM5 Antibody-Drug Conjugate Precemtabart Tocentecan (M9140) in Chinese Participants With Solid Tumors (PROCEADE-CRC-02) || A Randomized, Open La",NCT05464030|NCT06806046|NCT07549412,1
programmed cell death protein-1 inhibitor,,,,,,programmed cell death protein-1 inhibitor,hepatocellular carcinoma | intrahepatic cholangiocarcinoma,"{""NA"": 3}","{""UNKNOWN"": 1, ""RECRUITING"": 1, ""NOT_YET_RECRUITING"": 1}",3,NCT05420922,NCT07340502,"Efficacy and Safety of Immune Checkpoint Inhibitors (ICIs) and Tyrosine Kinase Inhibitors (TKIs) Therapy for Hepatocellular Carcinoma (HCC)：a Multicenter, Retrospective Study on the Real-world in China || Hepatic Arterial Infusion of GEMOX Plus Systemic Gemcitabine Chemotherapy Combined With Lenvatinib and PD-1 Inhibitor in Large Unresectable Intra",NCT05420922|NCT06505486|NCT07340502,1
suanzaoren decoction,,,,,,suanzaoren decoction,chronic insomnia | chronic insomnia disorder | primary insomnia | insomnia,"{""NA"": 3}","{""COMPLETED"": 3}",3,NCT05452577,NCT06467851,Clinical Normative Evaluation of Chronic Insomnia Treated by Traditional Chinese Medicine According to Yin Yang Theory and Its Correlation With Circadian Rhythm || Comparative Study on the Cognitive Function and Brain Imaging of Modified Suanzaoren Decoction and Eszopiclone in the Treatment of Primary Insomnia Patients With Yin Deficiency and Hyper,NCT05452577|NCT06452953|NCT06467851,1
recombinant respiratory syncytial virus vaccine,,,,,,recombinant respiratory syncytial virus vaccine,respiratory syncytial virus infection,"{""PHASE2"": 1, ""PHASE1/PHASE2"": 2}","{""COMPLETED"": 1, ""RECRUITING"": 1, ""NOT_YET_RECRUITING"": 1}",3,NCT04681833,NCT07582796,"A Randomised, Double-blind, Placebo-controlled, Dose-ranging Phase II Study in 60 to 80-Year-Old Adults to Assess the Safety and Immunogenicity of BARS13 || A Randomized, Double-blind, Placebo-controlled Phase 1/2 Clinical Trial to Evaluate the Safety, Tolerability, and Immunogenicity of Recombinant Respiratory Syncytial Virus Vaccine (SCTV02) in H",NCT04681833|NCT06754605|NCT07582796,0
610,,,,,,610,asthma,"{""PHASE2"": 2, ""PHASE3"": 1}","{""UNKNOWN"": 1, ""RECRUITING"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",3,NCT05528679,NCT06680947,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase II, Efficacy and Safety Study of Recombinant Anti-IL-5 Humanized Monoclonal Antibody Therapy in Adult Subjects With Severe Eosinophilic Asthma || A Multicenter, Randomized, Double-blind, Placebo-controlled Phase III Clinical Trial to Evaluate the Efficacy and Safety of 610 in Chinese",NCT05528679|NCT06323213|NCT06680947,1
recombinant anti-il-17a humanized monoclonal antibody,,,,,,recombinant anti-IL-17A humanized monoclonal antibody,plaque psoriasis,"{""PHASE3"": 2, ""PHASE2"": 1}","{""COMPLETED"": 1, ""UNKNOWN"": 2}",3,NCT05536726,NCT06299982,"A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled Trial to Evaluate the Efficacy and Safety of Recombinant Anti-IL-17A Humanized Monoclonal Antibody in Chinese Patients With Moderate-to-Severe Plaque Psoriasis || A Phase 2，Multicenter, Randomized, Double-blind, Placebo-controlled，Multiple-dose Escalation and Dose Finding Study to",NCT05536726|NCT05604898|NCT06299982,3
astragali radix,,,,,,astragali radix | Astragali Radix,foot ulcer | diabetes mellitus | cerebral infarction | moyamoya vasculopathy,"{""PHASE2/PHASE3"": 1, ""NA"": 1, ""PHASE1"": 1}","{""COMPLETED"": 1, ""UNKNOWN"": 1, ""NOT_YET_RECRUITING"": 1}",3,NCT01389362,NCT07286110,"The Healing Effect of a Two-Herb Recipe on Foot Ulcer in Chinese Patients With Type 2 Diabetes: A Randomized, Placebo-Controlled Study || Study of Effects and Mechanisms of Yiqi Huoxue Demolition and Recipes on Recovery Stage of Cerebral Infarction || Effect of Chinese Herbal Intervention (Qiqi Shengmai Formula) for Moyamoya Vasculopathy in Cerebra",NCT01389362|NCT02846207|NCT07286110,2
pabolizumab,,,,,,pabolizumab,non-small cell lung cancer | cervical adenocarcinoma | gastric adenocarcinoma,"{""NA"": 2, ""PHASE2"": 1}","{""UNKNOWN"": 3}",3,NCT04427475,NCT05816863,Study on the Prediction of Immunotherapeutic Effect of Advanced Non-small Cell Lung Cancer by Detection of Plasma Exosomes || Effect of Compound Kushen Injection Combined With Pabolizumab in the Treatment of Cervical Adenocarcinoma: A Phase II Single-arm Clinical Study || Clinical Study of Pabolizumab for Neoadjuvant Immunotherapy of Locally Advanc,NCT04427475|NCT05259540|NCT05816863,0
plixorafenib,,,PLIXORAFENIB,Small molecule,PHASE_2,plixorafenib,primary central nervous system tumor | solid tumor | melanoma | thyroid cancer | glioma,"{""PHASE2"": 1, ""PHASE1"": 1, ""EARLY_PHASE1"": 1}","{""RECRUITING"": 2, ""COMPLETED"": 1}",3,NCT05503797,NCT06610682,"A Phase 2 Master Protocol to Assess the Efficacy and Safety of FORE8394, an Inhibitor of BRAF Class 1 and Class 2 Alterations, in Participants With Cancer Harboring BRAF Alterations || A Phase 1, Open-Label, 2-Part, Single Dose, Crossover Study to Examine the Effect of Food and Cobicistat Administration on the Pharmacokinetics and Safety of Plixora",NCT05503797|NCT06385119|NCT06610682,0
