asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
recombinant human il12/15-pdl1b oncolytic hsv-1,,,,,,recombinant human il12/15-pdl1b oncolytic hsv-1,bone sarcoma | soft tissue sarcoma,"{""PHASE2"": 1}","{""RECRUITING"": 1}",1,NCT06126510,NCT06126510,"A Single-arm, Multicenter, Open-label Phase IIa Clinical Study to Evaluate the Efficacy and Safety of VG161 in the Treatment of Advanced Bone and Soft Tissue Sarcoma",NCT06126510,0
pivastatin,,,,,,pivastatin,acute ischemic stroke,"{""NA"": 1}","{""UNKNOWN"": 1}",1,NCT06134635,NCT06134635,Short-term Effect of Proprotein Convertase Subtilisin/Kexin Type 9 Inhibitor in Chinese Population With Acute Ischemic Stroke: the Singe-center Real-world Study,NCT06134635,1
tartarase,,,,,,tartarase,dental calculus | calculus,"{""NA"": 1}","{""COMPLETED"": 1}",1,NCT06139835,NCT06139835,a Proof of Principle in Vivo Study to Evaluate the Anti-Calculus and Safety Profile of a Novel Enzyme Formulation,NCT06139835,0
vivifrail,,,,,,Vivifrail,spine disorders | spinal degenerative diseases,"{""NA"": 1}","{""COMPLETED"": 1}",1,NCT06140797,NCT06140797,Prehabilitation Combined With Enhanced Recovery After Surgery (PREERAS) in the Chinese Elderly With Spine Surgery,NCT06140797,1
androgen receptor antagonist,,,TESTOSTERONE,Small molecule,APPROVAL,androgen receptor antagonist,salivary gland carcinoma,"{""PHASE2"": 1}","{""RECRUITING"": 1}",1,NCT06145308,NCT06145308,"Cancer Hospital, Chinese Academy of Medical Sciences/National Cancer Center of China",NCT06145308,1
adelizumab,,,,,,adelizumab,pancreatic cancer,"{""PHASE2"": 1}","{""NOT_YET_RECRUITING"": 1}",1,NCT06172036,NCT06172036,"A Multicenter, Multi-cohort, Randomized, Phase II Study of Irinotecan Liposome Combined With 5-FU / LV and Oxaliplatin for Resectable Pancreatic Cancer With or Without Addebelizumab",NCT06172036,0
recombinant covid-19 (xbb) trimer protein vaccine (sf9 cell),,,,,,recombinant COVID-19 (XBB) trimer protein vaccine (Sf9 Cell),SARS-CoV-2 infection,"{""PHASE3"": 1}","{""UNKNOWN"": 1}",1,NCT06175494,NCT06175494,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 3 Clinical Study to Evaluate the Efficacy, Safety, and Immunogenicity of Booster Vaccination With Recombinant COVID-19 (XBB) Trimer Protein Vaccine (Sf9 Cell) for the Prevention of SARS-CoV-2 Infection in a Population of 18 Years of Age and Older.",NCT06175494,0
vezocolmitide,,,VEZOCOLMITIDE,Protein,PHASE_3,vezocolmitide,dry eye disease,"{""PHASE3"": 1}","{""UNKNOWN"": 1}",1,NCT06178679,NCT06178679,"A Phase 3 Multi-Center, Randomized, Double Masked, Vehicle Controlled Study to Assess the Safety and Efficacy of ST-100 (Vezocolmitide) Ophthalmic Solution 60 μg/ml Ophthalmic Solution in Subjects Diagnosed With Dry Eye Disease (DED)",NCT06178679,0
veliglutamab,,,,,,veliglutamab,thyroid eye disease,"{""PHASE3"": 1}","{""COMPLETED"": 1}",1,NCT06179875,NCT06179875,An Open-label Study for Participants Who Are Non-responders at the End of Treatment Assessment on the VRDN-001-101 and VRDN-001-301 Pivotal Studies,NCT06179875,0
chinese herbal granule preparations,,,,,,Chinese herbal granule preparations,gastrointestinal symptoms,"{""NA"": 1}","{""RECRUITING"": 1}",1,NCT06419764,NCT06419764,Combining Chinese Medicine and Nutrition to Enhance Weight Loss After Bariatric Surgery,NCT06419764,1
spleen invigorating and weight reducing decoction,,,,,,spleen invigorating and weight reducing decoction,gastrointestinal symptoms,"{""NA"": 1}","{""RECRUITING"": 1}",1,NCT06419764,NCT06419764,Combining Chinese Medicine and Nutrition to Enhance Weight Loss After Bariatric Surgery,NCT06419764,1
chinese herbal formula huoxue lishui,,,,,,chinese herbal formula huoxue lishui,hematoma recurrence requiring re-operation | hematoma progression requiring operation,"{""NA"": 1}","{""NOT_YET_RECRUITING"": 1}",1,NCT06427980,NCT06427980,"Efficacy and Safety of Chinese Herbal HuoXue LiShui Formula for Chronic Subdural Hematoma: a a Prospective, Randomized, Double-blinded, Placebo-controlled, Multicenter Trail",NCT06427980,1
puterizumab,,,,,,puterizumab,non-small cell lung cancer,"{""PHASE2"": 1}","{""NOT_YET_RECRUITING"": 1}",1,NCT06434740,NCT06434740,The Efficacy and Safety of Stereotactic Radiotherapy Combined With Puterizumab in Non Small Cell Lung Cancer With Intrapulmonary Metastasis：A Phase II Prospective Single Arm Clinical Study,NCT06434740,0
triprilumab,,,,,,triprilumab,intrahepatic cholangiocarcinoma,"{""PHASE2"": 1}","{""UNKNOWN"": 1}",1,NCT04413734,NCT04413734,Combination of Anti-PD-1 Antibody and Chemotherapy for Unresectable Intrahepatic Cholangiocarcinoma: A Exploratory Clinical Trial,NCT04413734,0
nonoxinol,,,NONOXYNOL,Unknown,PHASE_2,nonoxinol,pregnancy,"{""PHASE2"": 1}","{""NOT_YET_RECRUITING"": 1}",1,NCT06203080,NCT06203080,"The Efficacy and Safety of an Intravaginal Acetic Acid Thermoreversible Gel on Chinese Women of Reproductive Age Compared With Nonoxinol Gel: A Multi-central Phase II, Triple-blind, Randomized Trial",NCT06203080,1
jueling mingmu decoction,,,,,,Jueling Mingmu Decoction,retinal branch vein occlusion | macular cystoid edema,"{""PHASE4"": 1}","{""COMPLETED"": 1}",1,NCT06234514,NCT06234514,Traditional Chinese Medicine and Ranibizumab in the Treatment of Macular Cystoid Edema Associated With Retinal Vein Obstruction.,NCT06234514,1
gusacitinib,,,GUSACITINIB,Small molecule,PHASE_2,gusacitinib,lupus | systemic lupus erythematosus,"{""PHASE1"": 1}","{""WITHDRAWN"": 1}",1,NCT06238531,NCT06238531,"A Randomized, Double-Blind, Placebo-Controlled, Phase Ib Study to Evaluate the Safety, Tolerability, And Pharmacokinetics of Gusacitinib in Subjects With Systemic Lupus Erythematosus (SLE)",NCT06238531,0
