asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
GIGA-2050,,,,,,GIGA-2050,COVID-19,"{""PHASE1"": 1}","{""TERMINATED"": 1}",1,NCT04883138,NCT04883138,A Phase 1 Single Ascending Dose Study of a Recombinant Hyperimmune Polyclonal Antibody Against SARS CoV-2 (GIGA-2050) in Patients Hospitalized With COVID-19,NCT04883138,0
TA103,,,,,,TA103,tinea pedis,"{""EARLY_PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT04883593,NCT04883593,"A Multi-center, Double-blind, Randomized, Placebo Controlled, Parallel-Group Study, Comparing TA103 and Placebo Control in the Treatment of Tinea Pedis.",NCT04883593,0
ASC930,,,,,,asc930,acute graft versus host disease,"{""PHASE2"": 1}","{""UNKNOWN"": 1}",1,NCT04883918,NCT04883918,Evaluation of Safety and Efficacy of ASC930 in Patients With Steroid-Refractory Acute Graft Versus Host Disease,NCT04883918,0
EXP039,,,,,,exp039,hyperopia | myopia,"{""PHASE1/PHASE2"": 1}","{""UNKNOWN"": 1}",1,NCT04883996,NCT04883996,"A Phase 1/2, Randomized, Placebo Controlled Crossover Study to Assess the Safety, Pharmacodynamics, and Efficacy of EXP039 Ophthalmic Solution in Participants With Myopia or Hyperopia",NCT04883996,0
CBT-006,,,,,,CBT-006,meibomian gland dysfunction,"{""PHASE2"": 1}","{""COMPLETED"": 1}",1,NCT04884243,NCT04884243,"A Phase 2 Multicenter, Double-masked, Randomized, Vehicle-controlled, Parallel Study to Evaluate the Safety, Efficacy and Pharmacokinetics of CBT-006 in Patients With Meibomian Gland Dysfunction",NCT04884243,0
CBT-004,,,,,,CBT-004,vascularized pinguecula,"{""PHASE2"": 1}","{""COMPLETED"": 1}",1,NCT04884256,NCT04884256,"A Phase 2 Multicenter, Randomized, Vehicle-Controlled Study to Evaluate the Safety and Efficacy of CBT-004 Ophthalmic Emulsion in Patients With Vascularized Pinguecula",NCT04884256,0
XVR011,,,,,,XVR011,coronavirus disease 2019,"{""PHASE1/PHASE2"": 1}","{""TERMINATED"": 1}",1,NCT04884295,NCT04884295,"A 2-part Clinical Study Including a First in Human, Open Label, Single Ascending Dose Part (Phase 1) Followed by a Randomised, Double Blind, Placebo-controlled Part (Phase 2) to Evaluate the Efficacy and Safety of XVR011 in Patients Hospitalised for Mild to Moderate Coronavirus Disease 2019 (COVID-19)",NCT04884295,0
CMAB818,,,,,,CMAB818,age-related macular degeneration,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT04884399,NCT04884399,"A Randomized, Double-blind, Two-group Parallel, Positive-controlled Clinical Phase I Trial Comparing the Safety, Pharmacokinetics, Pharmacodynamics and Efficacy of CMAB818 and Lucentis® in Patients With Wet Age-related Macular Degeneration.",NCT04884399,0
JY025,,,,,,JY025,epidermal growth factor receptor mutation | non-small cell lung cancer,"{""PHASE2/PHASE3"": 1}","{""UNKNOWN"": 1}",1,NCT04874844,NCT04874844,Recombinant Anti-VEGFR2 Fully Human Monoclonal Antibody (JY025) Injection Combined With Gefitinib/Erlotinib as First-line Treatment Phase II and III Clinical Trials on the Efficacy and Safety of Patients With EGFR-mutant NSCLC,NCT04874844,0
NC762,,,,,,NC762,solid tumors,"{""PHASE1/PHASE2"": 1}","{""TERMINATED"": 1}",1,NCT04875806,NCT04875806,"A Phase 1/2, Open-Label, Dose-Escalation, Safety and Tolerability Study of NC762 in Subjects With Advanced or Metastatic Solid Tumors",NCT04875806,0
BBP-711,,,,,,BBP-711,,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT04876924,NCT04876924,"A Phase 1, Randomized, Double-Blinded, Placebo-controlled, Single and Multiple-Ascending Dose Study of the Safety, Tolerability, Food Effect, Pharmacokinetics, and Pharmacodynamics of BBP-711 (ORF-229) in Healthy Adult Subjects",NCT04876924,0
GFB-024,,,,,,GFB-024,type 2 diabetes mellitus,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT04880291,NCT04880291,"A First-In-Human, Phase 1, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of GFB-024 as a Single Dose in Healthy Overweight and Obese Participants and as Multiple Doses in Participants With Type 2 Diabetes Mellitus",NCT04880291,0
CN401,,,,,,CN401,lymphoid malignancies | non-Hodgkin lymphoma,"{""PHASE1/PHASE2"": 1}","{""TERMINATED"": 1}",1,NCT04880564,NCT04880564,"An Open-label, Multi-centre, Phase I/II Study to Investigate the Safety, Tolerability, and Preliminary Efficacy of CN1 in Combination With CN401 in Adult Patients With Relapsed/Refractory Lymphoid Malignancies",NCT04880564,0
STC3141,,,,,,STC3141,corona virus disease 2019 | COVID-19 pneumonia,"{""PHASE2"": 1}","{""COMPLETED"": 1}",1,NCT04880694,NCT04880694,"A Randomized, Open-Label, Multi-Centre, Phase 2a Study to Evaluate the Safety and Effect of STC3141 Continuous Infusion in Subjects With Severe Corona Virus Disease 2019（COVID-19）Pneumonia",NCT04880694,0
SER150,,,,,,SER150,diabetic kidney disease | type 2 diabetes | albuminuria,"{""PHASE2/PHASE3"": 1}","{""COMPLETED"": 1}",1,NCT04881123,NCT04881123,"Randomized, Double-blind, Placebo-controlled, Parallel Groups, Multicenter Pivotal Study Assessing the Efficacy and Safety of 15 mg Twice a Day (BID) of SER150 in Well-controlled Type 2 Diabetic Patients With Diabetic Kidney Disease and Albuminuria in Treatment With an Angiotensin Converting Enzyme Inhibitor or an Angiotensin Receptor Antagonist",NCT04881123,0
M4076,,,LARTESERTIB,Small molecule,PHASE_2,M4076,solid tumor,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT04882917,NCT04882917,"A First-in-human, Phase I, Open-label Study of the ATM Inhibitor M4076 in Participants With Advanced Solid Tumors (DDRiver Solid Tumors 410)",NCT04882917,0
TASO-001,,,,,,taso-001,solid tumor,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT04862767,NCT04862767,"Multi-center, Open Label, Phase Ib Clinical Trial to Evaluate Safety, Tolerance and Efficacy of TASO(TGF-β2 Targeting Anti-sense Oligonucleotide)-001 in Combination With Recombinant Interleukin-2 in Advanced or Metastatic Solid Tumor",NCT04862767,0
EXG-5003,,,,,,EXG-5003,COVID-19,"{""PHASE1/PHASE2"": 1}","{""COMPLETED"": 1}",1,NCT04863131,NCT04863131,Safety and Immunogenicity of Intradermal SARS-CoV-2 Vaccine EXG-5003 in Healthy Adults,NCT04863131,0
ECT204,,,,,,ECT204 T-cell therapy,hepatocellular carcinoma,"{""PHASE1/PHASE2"": 1}","{""RECRUITING"": 1}",1,NCT04864054,NCT04864054,"An Open-Label, Dose Escalation, Multi-Center Phase I/II Clinical Trial of ECT204 T-Cell Therapy in Adults With Advanced Hepatocellular Carcinoma (HCC) (ARYA-3)",NCT04864054,0
AST-021P,,,,,,ast-021p,solid tumor | solid cancer,"{""PHASE1"": 1}","{""UNKNOWN"": 1}",1,NCT04864418,NCT04864418,"A Phase 1 Study to Evaluate the Safety, Tolerability and Optimal Immunogenic Dose of Therapeutic Cancer Vaccine (AST-021p) in Patients With Advanced Solid Tumors",NCT04864418,0
T-1201,,,,,,T-1201,solid tumor,"{""PHASE1"": 1}","{""RECRUITING"": 1}",1,NCT04866641,NCT04866641,"A Phase I, Open-label, Dose-finding Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of T-1201 Injection 100 mg Kit in Patients With Advanced Solid Tumors",NCT04866641,0
FA7527,,,,,,neisseria gonorrhoeae strain fa7527,gonococcal infection,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT04870138,NCT04870138,Experimental Human Infection With Isogenic Mutants of Neisseria Gonorrhoeae (LptA Trial),NCT04870138,0
AL102,,,,,,al102,desmoid tumors,"{""PHASE2/PHASE3"": 1}","{""ACTIVE_NOT_RECRUITING"": 1}",1,NCT04871282,NCT04871282,"RINGSIDE: A Phase 2/3, Randomized, Multicenter Study to Evaluate AL102 in Patients With Progressing Desmoid Tumors",NCT04871282,0
LPCN-1148,,,,,,LPCN 1148,sarcopenia | cirrhosis of the liver,"{""PHASE2"": 1}","{""COMPLETED"": 1}",1,NCT04874350,NCT04874350,"A Phase 2, Randomized Double-Blind, Placebo-Controlled, Multi-Center Study to Assess the Efficacy, Safety, and Tolerability of Oral LPCN 1148 in Male Subjects With Cirrhosis of the Liver and Sarcopenia",NCT04874350,0
