asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
OM-85,,,,,,OM-85 | OM 85 | om-85 bv | om-85 | OM-85-IN,respiratory tract infections | wheezing | wheezing attacks | respiratory infections | bronchiectasis exacerbation | adenoid hypertrophy,"{""PHASE4"": 6, ""PHASE3"": 1, ""PHASE2"": 2, ""PHASE1"": 1}","{""COMPLETED"": 3, ""UNKNOWN"": 1, ""RECRUITING"": 2, ""TERMINATED"": 1, ""ACTIVE_NOT_RECRUITING"": 3}",10,NCT00733226,NCT07178002,"Phase IV Study of Effect of OM-85 BV (Broncho-Vaxom) on Wheezing Related Morbidity in Children With Recurrent Wheezing || To Investigate the PRevention of OM-85 on Bronchiectasis Exacerbation (iPROBE): a Multicenter, Randomised, Double-dummy, Placebo-controlled Clinical Trial in Chinese Patients || Effect of Vaxoral® (OM-85) on Frequency of Respira",NCT00733226|NCT01968421|NCT03243565|NCT05063149|NCT05222516|NCT05677763,1
BHV-7000,,,,,,bhv-7000 | BHV-7000,focal epilepsy | major depressive disorder | epilepsy | manic episode | bipolar I disorder | idiopathic generalized epilepsy with generalized tonic-clonic seizures,"{""PHASE2/PHASE3"": 4, ""PHASE2"": 4, ""PHASE1"": 2}","{""RECRUITING"": 2, ""COMPLETED"": 3, ""TERMINATED"": 2, ""ENROLLING_BY_INVITATION"": 2, ""ACTIVE_NOT_RECRUITING"": 1}",10,NCT06132893,NCT07262268,"A Phase 2/3 Multicenter, Randomized, Double-Blind, Placebo-Controlled, Study to Evaluate the Efficacy, Safety and Tolerability of BHV-7000 in Subjects With Refractory Focal Onset Epilepsy || A Phase 2/3 Multicenter, Randomization, Double-Blind, Placebo-Controlled, Study to Evaluate the Efficacy, Safety and Tolerability of BHV-7000 in Subjects With ",NCT06132893|NCT06309966|NCT06419582|NCT06419608|NCT06423781|NCT06423794,0
W-135,,,,,,"NmVac4-A/C/Y/W-135-DT | meningococcal a, c, y, and w 135 polysaccharide diphtheria toxoid conjugate vaccine | tetravalent meningococcal serogroups A, C, W-135, and Y tetanus toxoid conjugate vaccine |","meningococcal infection | meningococcal disease | disease caused by meningococcal serogroups A, C, W-135, and Y | meningococcal meningitis | meningococcemia | meningococcal serogroup C infection","{""PHASE3"": 5, ""PHASE2"": 2, ""PHASE1"": 2, ""NA"": 1}","{""COMPLETED"": 10}",10,NCT00444951,NCT06165276,"Evaluation of the Response to a Single Dose of Menactra® in Adolescents Aged 16 to 19 Years Who Previously Received One Dose of Quadrivalent (A, C, Y, W 135) and at Least One Dose of Bivalent (A, C) Meningococcal Polysaccharide Vaccine in Saudi Arabia. || Immunogenicity & Safety Study of GSK Biologicals' Meningococcal Vaccine GSK134612 Administered",NCT00444951|NCT00661557|NCT01154088|NCT01482052|NCT01897402|NCT02500511,0
AS01E,,,,,,"RTS,S/AS01E | RSVPreF3-AS01E",malaria | malaria infection | clinical malaria | respiratory syncytial virus infection,"{""PHASE2"": 9, ""NA"": 1}","{""COMPLETED"": 8, ""UNKNOWN"": 1, ""RECRUITING"": 1}",10,NCT00360230,NCT07036159,"A Partially-blind (Observer-blind) Study to Evaluate the Safety and Immunogenicity of 3 Different Vaccination Schedules With 2 GSK Biologicals' Candidate Plasmodium Falciparum Vaccines in Children Aged 5 to 17 Months Living in Ghana || An Extended Follow up of a Phase 2b Vaccine Trial With RTS,S/AS01E in Kilifi District, Kenya. || Safety and Immuno",NCT00360230|NCT00872963|NCT01231503|NCT02992119|NCT03162614|NCT03276962,0
MY008211A,,,,,,MY008211A,paroxysmal nocturnal hemoglobinuria | immunoglobulin a nephropathy | anemia,"{""PHASE1"": 4, ""PHASE2"": 3, ""PHASE3"": 2, ""PHASE2/PHASE3"": 1}","{""COMPLETED"": 4, ""NOT_YET_RECRUITING"": 3, ""RECRUITING"": 3}",10,NCT05642585,NCT06933914,"A Phase I, Randomized, Double-Blind, Placebo-Controlled, Single Ascending Doses Clinical Study to Evaluate the Safety, Tolerability and Pharmacokinetic/Pharmacodynamics Characteristics of MY008211A Tablets in Healthy Adult Volunteers || A Phase I, Randomized, Double-Blind, Placebo-Controlled, Multiple Ascending Doses Clinical Study to Evaluate the ",NCT05642585|NCT05828472|NCT05828485|NCT06050226|NCT06134414|NCT06543459,1
ID93,,,,,,ID93 + GLA-SE | ID93 | id93 | id93+gla-se | ID93+GLA-SE,tuberculosis | pulmonary tuberculosis | tuberculosis infection,"{""PHASE1"": 6, ""PHASE2"": 3, ""NA"": 1}","{""COMPLETED"": 5, ""UNKNOWN"": 2, ""NOT_YET_RECRUITING"": 1, ""ACTIVE_NOT_RECRUITING"": 1, ""RECRUITING"": 1}",10,NCT01599897,NCT06714513,"A Phase 1, Randomized, Dose-escalation Study to Evaluate the Safety and Immunogenicity of the ID93 + GLA-SE Vaccine at Two Dose Levels of the ID93 Antigen and the GLA-SE Adjuvant in Healthy Adults || A Phase 1b, Randomized, Double-blind, Placebo-controlled, Dose-escalation Study to Evaluate the Safety and Immunogenicity of the ID93 + GLA-SE Vaccine",NCT01599897|NCT01927159|NCT02465216|NCT02508376|NCT03722472|NCT03806686,0
V116,,,,,,V116,pneumococcal disease | invasive pneumococcal disease | pneumococcal diseases | pneumococcal vaccine-naïve adults | community-acquired pneumonia | pneumococcal infection,"{""PHASE1/PHASE2"": 1, ""PHASE3"": 9}","{""COMPLETED"": 10}",10,NCT04168190,NCT06177912,"A Phase 1/Phase 2, Randomized, Double-blind Study to Evaluate the Safety, Tolerability, and Immunogenicity of a Polyvalent Pneumococcal Conjugate Vaccine in Adults. || A Phase 3, Multicenter, Randomized, Double-blind, Active Comparator-Controlled Study to Evaluate the Safety, Tolerability, and Immunogenicity of V116 in Adults Living With HIV || A P",NCT04168190|NCT05393037|NCT05420961|NCT05425732|NCT05464420|NCT05526716,0
D-2570,,,,,,D-2570 | d-2570,plaque psoriasis | ulcerative colitis | systemic lupus erythematosus | psoriatic arthritis,"{""PHASE2"": 5, ""PHASE3"": 2, ""PHASE1"": 3}","{""COMPLETED"": 2, ""RECRUITING"": 5, ""ACTIVE_NOT_RECRUITING"": 2, ""NOT_YET_RECRUITING"": 1}",10,NCT06278350,NCT07489885,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase II Clinical Study to Evaluate the Efficacy and Safety of D-2570 in Participants With Moderate-to-Severe Plaque Psoriasis || A Phase 2 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of the Safety and Efficacy of D-2570 as Induction Therapy in Subjects With Moderately ",NCT06278350|NCT07035041|NCT07130604|NCT07270783|NCT07275775|NCT07311200,1
ORMD-0801,,,INSULIN HUMAN,Protein,APPROVAL,ORMD-0801 | ormd-0801,type 2 diabetes mellitus | type 1 diabetes | type 2 diabetes,"{""PHASE2"": 6, ""PHASE3"": 4}","{""COMPLETED"": 6, ""TERMINATED"": 2, ""UNKNOWN"": 1, ""NOT_YET_RECRUITING"": 1}",10,NCT02094534,NCT06731075,"A Prospective, Randomized, Double-blind, Placebo Controlled Study to Assess the Impact of ORMD-0801 (Insulin Capsules) on the Exogenous Insulin Requirements of Type 1 Diabetics || Randomized, Double-Blind, Placebo-Controlled Study to Assess the Safety and Efficacy of Multiple Oral Bedtime Doses of ORMD-0801 in Adult Patients With Type 2 Diabetes Me",NCT02094534|NCT02496000|NCT02954601|NCT03467932|NCT04150107|NCT04564846,0
TNO155,,,BATOPROTAFIB,Small molecule,PHASE_1_2,tno155 | TNO155,solid tumor | advanced solid tumors | lung cancer | colorectal cancer | solid tumors | hepatic impairment,"{""PHASE1"": 6, ""PHASE1/PHASE2"": 3}","{""TERMINATED"": 3, ""UNKNOWN"": 1, ""COMPLETED"": 1, ""ACTIVE_NOT_RECRUITING"": 1, ""WITHDRAWN"": 2, ""NOT_YET_RECRUITING"": 1}",9,NCT03114319,NCT07468071,"An Open-label, Multi-center, Phase I, Dose Finding Study of Oral TNO155 in Adult Patients With Advanced Solid Tumors || A Phase Ib, Open-label, Multi-center Study to Characterize the Safety, Tolerability, and Preliminary Efficacy of TNO155 in Combination With Spartalizumab or Ribociclib in Selected Malignancies || A Phase IB/II Study of Lorlatinib ",NCT03114319|NCT04000529|NCT04292119|NCT04294160|NCT04330664|NCT04699188,0
