asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
IBI397,Innovent Biologics,high,,,,ibi397,advanced malignancies,"{""PHASE1"": 1}","{""WITHDRAWN"": 1}",1,NCT05245916,NCT05245916,"A Phase Ia/Ib Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of IBI397 or Combination Therapies in Patients With Advanced Malignancies",NCT05245916,0
TAB006,TopAlliance (Junshi),medium,,,,tab006,advanced solid tumor | lymphoma,"{""PHASE1"": 1}","{""WITHDRAWN"": 1}",1,NCT05253105,NCT05253105,"A Phase 1, Multicenter, Open-label Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of TAB006, as Monotherapy and in Combination With Toripalimab, in Patients With Previously Treated, Advanced Malignancies",NCT05253105,0
docetaxel polymer micelles,Huabo Biopharm (Huaota),medium,DOCETAXEL,Small molecule,APPROVAL,docetaxel polymer micelles,solid tumors | esophageal cancer,"{""PHASE2"": 1}","{""UNKNOWN"": 1}",1,NCT05254665,NCT05254665,"An Open, Multi-cohort, Phase II Clinical Study Evaluating the Efficacy and Safety of Docetaxel Polymer Micelles for Injection in Patients With Advanced Malignant Solid Tumors",NCT05254665,0
CT101A,IASO Biotherapeutics,medium,,,,CT101a,acute myeloid leukemia,"{""PHASE1"": 1}","{""TERMINATED"": 1}",1,NCT05256277,NCT05256277,A Phase 1 Study of Evaluating Preliminary Safety and Efficacy of CT101a in the Treatment of Relapsed or Refractory (r/r) AML Patients,NCT05256277,0
NBL-012,CSPC (NovaBio),medium,,,,NBL-012,,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT05259189,NCT05259189,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Single Ascending Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of NBL-012 in Healthy Chinese Subjects",NCT05259189,1
EMB-09,EpimAb Biotherapeutics,high,,,,EMB-09,solid tumors,"{""PHASE1"": 1}","{""UNKNOWN"": 1}",1,NCT05263180,NCT05263180,"A First-in-human, Phase I Trial of EMB-09, a Bispecific Antibody Targeting PD-L1 and OX-40 in Patients With Advanced or Metastatic Solid Tumors",NCT05263180,0
CM350,Keymed Biosciences,medium,,,,CM350,solid tumors,"{""PHASE1/PHASE2"": 1}","{""RECRUITING"": 1}",1,NCT05263960,NCT05263960,"A Multicenter, Open Label, Phase I/II Clinical Study of CM350 in Patients With Advanced Solid Tumors",NCT05263960,0
KL590586,Kelun-Biotech,medium,,,,KL590586,solid tumors | non-small cell lung cancer | medullary thyroid carcinoma,"{""PHASE1/PHASE2"": 1}","{""ACTIVE_NOT_RECRUITING"": 1}",1,NCT05265091,NCT05265091,"An Open, Multi-Center Phase I/II Clinical Study To Evaluate The Safety, Tolerability, Pharmacokinetic Characteristics And Effectiveness Of KL590586 Capsules In Patients With Advanced Solid Tumors Carrying RET Fusion Or Mutant Genes",NCT05265091,0
fam-trastuzumab deruxtecan,Shanghai Henlius Biotech,high,TRASTUZUMAB,Antibody,APPROVAL,fam-trastuzumab deruxtecan,esophageal cancer | gastric cancer,"{""PHASE1"": 1}","{""RECRUITING"": 1}",1,NCT05274048,NCT05274048,A Multi-Center Phase I Trial of Neratinib and Fam-trastuzumab Deruxtecan in Advanced Refractory Gastric and Esophageal Cancer Patients,NCT05274048,0
YL797,MediLink Therapeutics,high,,,,l yl797,epithelial ovarian cancer | non-small cell lung cancer | endometrial cancer | primary peritoneal cancer | triple negative breast cancer | fallopian tube cancer,"{""PHASE1"": 1}","{""TERMINATED"": 1}",1,NCT05274451,NCT05274451,"A Phase 1 Study to Assess the Safety and Efficacy of LYL797, ROR1-Targeting CAR T Cells, in Adults With Relapsed and/or Refractory Solid-Tumor Malignancies",NCT05274451,0
HMPL-653,HUTCHMED,high,,,,HMPL-653,malignant solid tumor | tenosynovial giant cell tumor,"{""PHASE1"": 1}","{""UNKNOWN"": 1}",1,NCT05277454,NCT05277454,"A Multicenter, Open-label, Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of HMPL-653 in Treatment of Patients With Advanced Malignant Solid Tumors and Tenosynovial Giant Cell Tumor",NCT05277454,0
HEC-016,HEC Pharm (Sunshine Lake),high,,,,hec-016,esophagogastric junction adenocarcinoma | gastric adenocarcinoma | pancreatic cancer,"{""EARLY_PHASE1"": 1}","{""UNKNOWN"": 1}",1,NCT05277987,NCT05277987,"A Single Arm, Open Lable and Single Site Early Phase I Clinical Trial to Evaluate the Safety, Cell Kinetics and Initial Efficacy About Anti-claudin18.2 the Specificity of Chimeric Antigen Receptor T Cells in the Advanced Gastric / Esophagogastric Junction Adenocarcinoma and Pancreatic Cancer Subjects",NCT05277987,0
CS5001,CStone Pharmaceuticals,medium,,,,cs5001,solid tumor | lymphoma,"{""PHASE1"": 1}","{""RECRUITING"": 1}",1,NCT05279300,NCT05279300,"A Phase I, Dose-Escalation and Dose-Expansion Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Anti-tumor Activities of CS5001, an Anti-ROR1 Antibody-Drug Conjugate, Used as A Single Agent and in Combination With Systemic Therapies in Patients With Advanced Solid Tumors and Lymphomas",NCT05279300,0
AK115,Akeso,high,LUVAGROBART,Antibody,PHASE_1,AK115,,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT05286970,NCT05286970,"A Phase I Clinical Trial to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamic Characteristics of Single Dose Subcutaneous Administration of AK115 in Healthy Subjects",NCT05286970,0
ASC61,Ascletis Pharma,high,,,,asc61,solid tumor,"{""PHASE1"": 1}","{""COMPLETED"": 1}",1,NCT05287399,NCT05287399,"An Open-Label, Multicenter, Single-Arm Phase 1 Clinical Trial to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of ASC61 in Subjects With Advanced Solid Tumors",NCT05287399,0
SY-4835,Shouyao Holdings,medium,,,,SY-4835,solid tumor,"{""PHASE1"": 1}","{""UNKNOWN"": 1}",1,NCT05291182,NCT05291182,"A First-in-human, Phase I Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Anti-tumor Activity of SY-4835 Tablets in Patients With Advanced Solid Tumor",NCT05291182,0
SG2501,Sumgen / Shanghai Sun-Sail (verify),low,,,,SG2501,multiple myeloma | diffuse large B-cell lymphoma,"{""PHASE1"": 1}","{""TERMINATED"": 1}",1,NCT05293912,NCT05293912,"A Phase Ia/Ib, First-in-Human, Open-Label, Multicenter, Dose Escalation and Dose Expansion Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, Immunogenicity, and Preliminary Efficacy of SG2501 in Subjects with Relapsed or Refractory Hematological Malignancies and Lymphoma.",NCT05293912,0
IBI-323,Innovent Biologics,high,,,,IBI-323,non-small cell lung cancer,"{""PHASE2"": 1}","{""UNKNOWN"": 1}",1,NCT05296278,NCT05296278,Efficacy and Biomarker Explanation of IBI-323 Combined With Bevacizumab Plus Platinum Based Chemotherapy on ALK-Rearranged Non-Small Cell Lung Cancer Who Failed From First Line Alectinib,NCT05296278,0
IBI-322,Innovent Biologics,high,,,,IBI-322,small cell lung cancer,"{""PHASE2"": 1}","{""UNKNOWN"": 1}",1,NCT05296603,NCT05296603,Efficacy and Biomarker Explanation of IBI-322 Plus Lenvatinib on Extensive Stage Small Cell Lung Cancer Who Failed From First Line PD-(L)-1 Inhibitors: Multiple Cohorts Perspective Study,NCT05296603,0
