asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
HLX208,Shanghai Henlius Biotech,high,,,,HLX208 | hlx208,colorectal cancer | non-small cell lung cancer | solid tumor | brain tumor | Erdheim-Chester disease | Langerhans cell histiocytosis,"{""PHASE1"": 3, ""PHASE2"": 7, ""PHASE1/PHASE2"": 2}","{""UNKNOWN"": 10, ""COMPLETED"": 2}",12,NCT04965220,NCT05902728,"A Phase I Clinical Trial Evaluating the Safety, Tolerability, Pharmacokinetics, and Initial Efficacy of HLX208 (BRAF V600E Inhibitor) in Combination With Trametinib in Patients With Advanced Solid Tumors || An Open, Multicenter Phase II Clinical Study to Evaluate Safety and Efficacy of HLX208 (BRAF V600E Inhibitor) Combined With Cetuximab in Patien",NCT04965220|NCT04984369|NCT05065398|NCT05092802|NCT05092815|NCT05102292,2
stapokibart,Keymed Biosciences,medium,STAPOKIBART,Antibody,APPROVAL,stapokibart,seasonal allergic rhinitis | atopic dermatitis | allergic rhinitis | chronic rhinosinusitis with nasal polyps | prurigo nodularis | head and neck squamous cell carcinoma,"{""PHASE3"": 4, ""PHASE2"": 2, ""PHASE4"": 1, ""PHASE1"": 1, ""NA"": 4}","{""COMPLETED"": 3, ""ACTIVE_NOT_RECRUITING"": 1, ""RECRUITING"": 2, ""NOT_YET_RECRUITING"": 6}",12,NCT05265923,NCT07544862,"A Randomized, Double Blind, Placebo-controlled Phase 3 Study to Evaluate the Efficacy and Safety of CM310 in Patients With Moderate-to-severe Atopic Dermatitis || The Efficacy and Safety of CM310 Injection in Patients With Uncontrolled Seasonal Allergic Rhinitis Under Conventional Treatment: A Randomized, Double-Blind, Placebo-controlled Investigat",NCT05265923|NCT05470647|NCT05908032|NCT06424470|NCT06525597|NCT06801353,0
9MW2821,Mabwell,high,BULUMTATUG FUVEDOTIN,Antibody,PHASE_3,9MW2821 | 9mw2821,triple-negative breast cancer | urothelial cancer | malignant solid tumors | non-muscle-invasive bladder cancer | breast cancer | urothelial carcinoma,"{""PHASE1"": 2, ""PHASE1/PHASE2"": 3, ""PHASE2"": 6, ""PHASE3"": 1}","{""RECRUITING"": 8, ""NOT_YET_RECRUITING"": 4}",12,NCT05773937,NCT07556848,"A Phase I Clinical Study of the Safety, Tolerability, Pharmacokinetics and Preliminary Antitumor Activity of 9MW2821 in Advanced Malignant Solid Tumors || A Phase Ib/II, Open-label, Single Arm, Multicenter Clinical Study to Evaluate the Safety and Efficacy of 9MW2821 Combined With Toripalimab Injection in Subjects With Local Advanced or Metastatic ",NCT05773937|NCT06079112|NCT06492005|NCT06551233|NCT06649331|NCT06823427,0
SYS6010,CSPC Pharmaceutical,high,,,,SYS6010 | sys6010,non-small cell lung cancer | breast cancer | esophageal squamous cell carcinoma | colorectal cancer | advanced solid tumor | head and neck squamous cell carcinoma,"{""PHASE1/PHASE2"": 3, ""PHASE3"": 5, ""NA"": 1, ""PHASE2/PHASE3"": 1, ""PHASE2"": 2}","{""NOT_YET_RECRUITING"": 8, ""RECRUITING"": 3, ""ACTIVE_NOT_RECRUITING"": 1}",12,NCT06775236,NCT07472647,"A Phase 1b/2 Clinical Study to Evaluate the Safety and Efficacy of SYS6010 as a Monotherapy or in Combination With SYH2051 Compared to Investigator's Choice Chemotherapy in Patients With EGFR-Expressing Advanced Unresectable or Metastatic Solid Tumors, Including But Not Limited to Breast Cancer || A Randomized, Open-label, Multi-center, Phase III C",NCT06775236|NCT06927986|NCT07104877|NCT07241936|NCT07251062|NCT07254585,0
famitinib malate,Jiangsu Hengrui Pharmaceuticals,high,FAMITINIB,Small molecule,PHASE_3,famitinib malate,solid tumor | cervical cancer | breast cancer | intrahepatic cholangiocarcinoma | small cell lung cancer | non-small cell lung cancer,"{""PHASE2"": 7, ""PHASE1"": 4, ""PHASE3"": 2}","{""COMPLETED"": 5, ""WITHDRAWN"": 1, ""UNKNOWN"": 3, ""ACTIVE_NOT_RECRUITING"": 1, ""TERMINATED"": 1, ""NOT_YET_RECRUITING"": 2}",13,NCT01653574,NCT07382713,"A Single-Institutional, Phase II, Open-label, Single Arm Trial of Famitinib Malate in in HER2-negative Metastatic Breast Cancer || A Phase I Study of Famitinib Malate in Patients With Solid Tumor || A Single-centre, Single-dose, Randomized, Open-label and Two-cycle Crossover Bioequivalence Study of Famitinib Malate Capsules in Old and New Formulati",NCT01653574|NCT01762280|NCT04400123|NCT04479904|NCT04884009|NCT04906993,1
xevinapant,InventisBio,medium,XEVINAPANT,Small molecule,PHASE_3,xevinapant,squamous cell carcinoma of the head and neck | head and neck squamous cell carcinoma | advanced solid malignancies | non-small cell lung cancer | head and neck cancer | high-grade glioma,"{""PHASE1"": 6, ""PHASE3"": 3, ""PHASE2"": 3}","{""COMPLETED"": 3, ""TERMINATED"": 5, ""SUSPENDED"": 1, ""WITHDRAWN"": 2, ""ACTIVE_NOT_RECRUITING"": 1}",12,NCT03270176,NCT06463184,"A Phase-Ib Dose-Finding Study of the SMAC Mimetic Debio 1143 When Given in Combination With the Anti-PD-L1 Antibody Avelumab to Patients With Advanced Solid Malignancies and, in an Expansion Cohort, to Patients With Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC) After Platinum-Based Therapy || A Randomized, Double-Blind Placebo-Controlle",NCT03270176|NCT04459715|NCT04962724|NCT05386550|NCT05519540|NCT05724602,0
tafolecimab,Innovent Biologics,high,TAFOLECIMAB,Antibody,APPROVAL,tafolecimab,hypercholesterolemia | non-small cell lung cancer | low density lipoprotein cholesterol | familial hypercholesterolemia | heterozygous familial hypercholesterolemia | nonfamilial hypercholesterolemia,"{""PHASE2"": 5, ""PHASE3"": 2, ""NA"": 3, ""PHASE1"": 1, ""PHASE4"": 1}","{""COMPLETED"": 4, ""RECRUITING"": 2, ""NOT_YET_RECRUITING"": 6}",12,NCT03815812,NCT07341958,"A Randomized, Double-blind, Placebo-controlled, Repeated-dosing, Multiple Ascending Dose Trial to Evaluate the Safety and Tolerability of a Novel PCSK-9 Anti-body, IBI306, in Chinese Patients With Hypercholesterolemia || A Study to Evaluate Safety and Efficacy of IBI306 in Patients With Heterozygous Familial Hypercholesterolemia || A Randomized, Do",NCT03815812|NCT04179669|NCT04709536|NCT05457582|NCT05792917|NCT06096909,4
etesevimab,Shanghai Junshi Biosciences,high,ETESEVIMAB,Antibody,APPROVAL,etesevimab,coronavirus disease 2019 | COVID-19 | severe acute respiratory syndrome coronavirus 2 infection | coronavirus disease - 2019 | SARS-CoV-2 infection,"{""PHASE2/PHASE3"": 2, ""PHASE1"": 1, ""PHASE3"": 3, ""NA"": 2, ""PHASE2"": 2, ""PHASE4"": 1}","{""COMPLETED"": 5, ""UNKNOWN"": 1, ""NO_LONGER_AVAILABLE"": 1, ""TERMINATED"": 4}",11,NCT04427501,NCT05268601,"A Randomized, Double-blind, Placebo-Controlled, Phase 2/3 Study to Evaluate the Efficacy and Safety of LY3819253 and LY3832479 in Participants With Mild to Moderate COVID-19 Illness || A Randomized, Double-blind, Placebo-controlled, Phase I Clinical Study to Evaluate the Tolerability, Safety, Pharmacokinetic Profile and Immunogenicity of JS016 (Ant",NCT04427501|NCT04441918|NCT04497987|NCT04602000|NCT04603651|NCT04634409,1
SI-B001,SystImmune (Baili),high,IZALONTAMAB,Antibody,PHASE_3,SI-B001 | si-b001,non-small cell lung cancer | head and neck squamous cell carcinoma | squamous cell carcinoma of the head and neck | epithelial tumors | esophageal squamous cell carcinoma | colorectal cancer,"{""PHASE1"": 1, ""PHASE2"": 6, ""PHASE2/PHASE3"": 1, ""PHASE1/PHASE2"": 2, ""PHASE3"": 1}","{""ACTIVE_NOT_RECRUITING"": 7, ""TERMINATED"": 1, ""RECRUITING"": 3}",11,NCT04603287,NCT06668961,"A Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetic Characteristics and Preliminary Efficacy of SI-B001, an EGFR/HER3 Bispecific Antibody, in Locally Advanced or Metastatic Epithelial Tumors || A Phase II Clinical Study to Evaluate the Efficacy and Safety of SI-B001 in Combination With Chemotherapy in the Treatment of EGF",NCT04603287|NCT05020457|NCT05020769|NCT05022654|NCT05039944|NCT05044897,0
SI-B003,SystImmune (Baili),high,,,,SI-B003,head and neck squamous cell carcinoma | non-small cell lung cancer | solid tumors | solid tumor | small cell lung cancer | nasopharyngeal carcinoma,"{""PHASE1"": 1, ""PHASE1/PHASE2"": 2, ""PHASE2"": 8}","{""ACTIVE_NOT_RECRUITING"": 1, ""RECRUITING"": 10}",11,NCT04606472,NCT06668961,"Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetic Characteristics and Preliminary Efficacy of SI-B003, a PD-1/CTLA-4 Bispecific Antibody, in Patients With Advanced Solid Tumors || A Phase Ib/II Clinical Study of SI-B001+SI-B003 Dual-drug No-combination or Combined Chemotherapy in Patients With Locally Advanced or Metastat",NCT04606472|NCT05668858|NCT05924841|NCT05949606|NCT05956587|NCT05965856,0
