asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
XZP-3621,Xuanzhu Biopharma,high,,,,xzP-3621 | XZP-3621 | xzp-3621,non-small cell lung cancer | anaplastic lymphoma kinase-positive non-small cell lung cancer,"{""PHASE1"": 3, ""PHASE3"": 1, ""PHASE2"": 1}","{""COMPLETED"": 1, ""UNKNOWN"": 4}",5,NCT05034120,NCT05836805,"A Study to Investigate the Food Effect on the Pharmacokinetics of XZP-3621 Tablets and the Absorption, Metabolism and Excretion of XZP-3621 in Chinese Healthy Volunteers || Randomized Multicenter Phase III Open-Label Study to Evaluate and Compare the Efficacy and Safety of XZP-3621 Versus Crizotinib in Chinese Patients With Treatment-Naive Anaplast",NCT05034120|NCT05204628|NCT05482087|NCT05586568|NCT05836805,3
GNC-035,Baili-Bio (GNC platform),high,,,,GNC-035 | gnc-035,hematological malignancies | solid tumors | solid tumor | hematologic malignancy | breast cancer | chronic lymphocytic leukemia,"{""PHASE1"": 3, ""PHASE1/PHASE2"": 2}","{""WITHDRAWN"": 1, ""ACTIVE_NOT_RECRUITING"": 3, ""RECRUITING"": 1}",5,NCT05039931,NCT06066203,"An Open-Label, Multi-Center, Phase I Study to Evaluate the Safety, Tolerability，Pharmacokinetic/Pharmacodynamics and Anti-tumor Activity of Tetra-specific Antibody GNC-035 in Participants With Locally Advanced or Metastatic Solid Tumors || An Open-Label, Multi-Center, Phase I Study to Evaluate the Safety, Tolerability，Pharmacokinetic/Pharmacodynami",NCT05039931|NCT05104775|NCT05160545|NCT05944978|NCT06066203,0
6MW3211,Mabwell,high,SAFIMESTOMIG,Antibody,PHASE_2,6MW3211,malignancies | malignant neoplasm | non-small cell lung cancer | small cell lung cancer | clear cell renal cancer | lymphoma,"{""PHASE1/PHASE2"": 2, ""PHASE2"": 3}","{""UNKNOWN"": 5}",5,NCT05048160,NCT05448599,"Phase I/II Clinical Trial of 6MW3211 Injection to Evaluate Safety, Tolerability, PK/PD, Immunogenicity and Preliminary Efficacy in Subjects With Advanced Malignant Neoplasm.(Only Phase I Has Been Submitted to US FDA) || A Phase IIa Study to Evaluate the Efficacy and Safety of 6MW3211 in Patients With Advanced Lung Cancer Who Had Failed Therapy With",NCT05048160|NCT05431569|NCT05440045|NCT05446688|NCT05448599,0
HB0034,Huabo Biopharm (Huaota),medium,,,,HB0034 | hb0034,generalized pustular psoriasis,"{""PHASE1"": 3, ""PHASE2"": 1, ""PHASE2/PHASE3"": 1}","{""COMPLETED"": 2, ""RECRUITING"": 3}",5,NCT05064345,NCT06716151,"A Phase Ia, Randomized, Double-blind, Placebo-controlled, Single Dose-escalation Study to Evaluate the Safety, Tolerability and Pharmacokinetics of HB0034 in Adult Healthy Subjects || Multi-centre, Open-label, Single-arm, Phase Ib Study to Evaluate the Safety, Pharmacokinetics, and Efficacy of a Single Dose of HB0034 in Patients Acute Generalized P",NCT05064345|NCT05512598|NCT06231381|NCT06477536|NCT06716151,0
bulumtatug fuvedotin,Mabwell,high,BULUMTATUG FUVEDOTIN,Antibody,PHASE_3,bulumtatug fuvedotin,urothelial cancer | triple-negative breast cancer | cervical cancer | esophageal cancer,"{""PHASE1/PHASE2"": 1, ""PHASE3"": 3, ""PHASE1"": 1}","{""UNKNOWN"": 1, ""RECRUITING"": 4}",5,NCT05216965,NCT06908928,"Phase I/II Clinical Study of the Safety, Tolerability, Pharmacokinetics and Preliminary Antitumor Activity of 9MW2821 in Subjects With Advanced Malignant Solid Tumors || An Open-label, Randomized Phase 3 Study to Evaluate 9MW2821 vs Investigator's Choice of Chemotherapy in Subjects With Locally Advanced or Metastatic Urothelial Cancer Who Have Prev",NCT05216965|NCT06196736|NCT06592326|NCT06692166|NCT06908928,0
SHR6508,Jiangsu Hengrui Pharmaceuticals,high,,,,SHR6508 | shr6508,secondary hyperparathyroidism,"{""PHASE1"": 2, ""PHASE2"": 2, ""PHASE3"": 1}","{""COMPLETED"": 4, ""UNKNOWN"": 1}",5,NCT05221008,NCT06877247,"Study on Tolerability, Pharmacokinetics and Pharmacodynamics of SHR6508 in Chinese Patients With Secondary Hyperparathyroidism of Chronic Kidney Disease Treated by Maintenance Hemodialysis || An Open-label, Randomized, Active-Controlled Dose Titration Study to Assess the Efficacy and Safety of SHR6508 in Hemodialysis Subjects With Secondary Hyperpa",NCT05221008|NCT05663411|NCT06236295|NCT06434961|NCT06877247,2
tinlarebant,Belite Bio,high,TINLAREBANT,Small molecule,PHASE_3,tinlarebant,stargardt disease | Stargardt disease type 1 | geographic atrophy | Stargardt disease,"{""PHASE3"": 2, ""PHASE1/PHASE2"": 1, ""PHASE1"": 1, ""PHASE2/PHASE3"": 1}","{""COMPLETED"": 3, ""ACTIVE_NOT_RECRUITING"": 2}",5,NCT05244304,NCT06388083,"Phase 3, Multicenter, Randomized, Double-Masked, Placebo-Controlled Study to Evaluate the Safety and Efficacy of Tinlarebant in the Treatment of Stargardt Disease in Adolescent Subjects || Phase 1/2, Open-Label, Dose-Finding Followed by 2-Year Extension Study to Evaluate Safety and Tolerability of Tinlarebant in Adolescent Subjects With Stargardt D",NCT05244304|NCT05266014|NCT05667688|NCT05949593|NCT06388083,0
HS-20089,Hansoh Pharma,medium,,,,HS-20089 | hs-20089,solid tumor | epithelial ovarian cancer | ovarian cancer | endometrial cancer | advanced gastric cancer | recurrent ovarian cancer,"{""PHASE1"": 3, ""PHASE2"": 1, ""PHASE3"": 1}","{""RECRUITING"": 5}",5,NCT05263479,NCT06855069,"A Phase I, Open-label, Multicenter Study to Evaluate Safety, Tolerability, Pharmacokinetics, and Efficacy of HS-20089 in Patients With Advanced Solid Tumors || A Phase 2 Study of HS-20089 for Injection in Patients With Recurrent or Metastatic Ovarian Cancer and Endometrial Cancer || A Phase I Study to Evaluate the Safety, Tolerability, Pharmacokine",NCT05263479|NCT06014190|NCT06336707|NCT06769425|NCT06855069,0
SY-5007,Shouyao Holdings,medium,,,,SY-5007 | sy-5007,non-small cell lung cancer | solid tumor | medullary thyroid cancer,"{""PHASE1/PHASE2"": 1, ""PHASE3"": 1, ""PHASE1"": 3}","{""UNKNOWN"": 4, ""RECRUITING"": 1}",5,NCT05278364,NCT06352190,"A Phase I/II, Open-Label, Single-arm, Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Antineoplastic Activity of SY-5007 in Patients With RET-altered Advanced Solid Tumor. || A Phase III, Open-Label, Single-arm, Multicenter Study to Evaluate the Efficacy and Safety of SY-5007, a RET Inhibitor, in Patients With Locally Advanced or ",NCT05278364|NCT06031558|NCT06325761|NCT06332053|NCT06352190,2
SIM0270,Simcere Zaiming,high,,,,SIM0270 | sim0270,breast cancer,"{""PHASE1"": 4, ""PHASE3"": 1}","{""ACTIVE_NOT_RECRUITING"": 2, ""COMPLETED"": 1, ""RECRUITING"": 2}",5,NCT05293964,NCT07357610,"A Multicenter, Open-label, Phase I Clinical Study to Evaluate the Safety, Pharmacokinetics, and Antitumor Efficacy of SIM0270 Alone or in Combination in Subjects with ER-positive, HER-2 Negative Locally Advanced or Metastatic Breast Cancer || A Single Center, Randomized, Open Label, Single Dose, Two-Period, Crossover Phase I Study to Evaluate the E",NCT05293964|NCT06536036|NCT06654791|NCT06680921|NCT07357610,3
